file_LAC, th1_LAC,vsum_LAC, vavg_LAC, vmed_LAC, vstd_LAC, vvar_LAC, vmax_LAC, vmin_LAC, totalpix_LAC, nanpix_LAC, statipix_LAC,file_GAC, th1_GAC,vsum_GAC, vavg_GAC, vmed_GAC, vstd_GAC, vvar_GAC, vmax_GAC, vmin_GAC, totalpix_GAC, nanpix_GAC, statipix_GAC
S20031212003151.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,411907,0,S20031212003151.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,443438,0
S20031212003151.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,411907,0,S20031212003151.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,443438,0
S20031522003181.MON.chlor_a.csv,0-5,213361.711,0.374437035,0.329599656,0.263630298,0.069500934,4.993444204,0.054841433,985680,414952,569820,S20031522003181.MON.chlor_a.csv,0-5,152936.4334,0.357268014,0.333365515,0.156452972,0.024477532,3.774416447,0.110452443,985680,557608,428072
S20031522003181.MON.chlor_a.csv,5-10,4287.472104,6.730725438,6.453433514,1.327718303,1.762835893,9.96158123,5.000401497,985680,414952,637,S20031522003181.MON.chlor_a.csv,5-10,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,10-15,2027.579415,12.1411941,11.9150877,1.481530138,2.194931551,14.90476704,10.00517273,985680,414952,167,S20031522003181.MON.chlor_a.csv,10-15,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,15-20,936.3651476,17.66726694,17.73519707,1.503803892,2.261426146,19.90995789,15.10440683,985680,414952,53,S20031522003181.MON.chlor_a.csv,15-20,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,20-25,699.3756893,21.85549029,21.14475918,1.400890087,1.962493037,24.13079715,20.23245811,985680,414952,32,S20031522003181.MON.chlor_a.csv,20-25,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,25-30,170.5258846,28.42098076,28.7277426,0.562408584,0.316303416,28.91118036,27.55621926,985680,414952,6,S20031522003181.MON.chlor_a.csv,25-30,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,30-35,63.83036423,31.91518211,31.91518211,0,0,31.91518211,31.91518211,985680,414952,2,S20031522003181.MON.chlor_a.csv,30-35,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,35-40,72.25560761,36.1278038,36.1278038,0,0,36.1278038,36.1278038,985680,414952,2,S20031522003181.MON.chlor_a.csv,35-40,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,40-45,207.6575532,41.53151064,40.52323914,1.426511635,2.034935446,43.77571106,40.1768949,985680,414952,5,S20031522003181.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,414952,0,S20031522003181.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,50-55,50.81396723,50.81396723,50.81396723,0,0,50.81396723,50.81396723,985680,414952,1,S20031522003181.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,414952,0,S20031522003181.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,60-65,129.9395142,64.96975708,64.96975708,0,0,64.96975708,64.96975708,985680,414952,2,S20031522003181.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,557608,0
S20031522003181.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,414952,0,S20031522003181.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,557608,0
S20031822003212.MON.chlor_a.csv,0-5,195798.2092,0.37621668,0.290342588,0.369552653,0.136569164,4.998232841,0.064573407,985680,463362,520440,S20031822003212.MON.chlor_a.csv,0-5,106647.611,0.34234815,0.287329912,0.248600546,0.061802232,4.981803894,0.114869721,985680,674019,311518
S20031822003212.MON.chlor_a.csv,5-10,8965.417122,6.645972663,6.293355942,1.321856788,1.747305368,9.979952017,5.003718019,985680,463362,1349,S20031822003212.MON.chlor_a.csv,5-10,721.5962884,5.55074068,5.301304817,0.567524978,0.322084601,6.497935295,5.016896725,985680,674019,130
S20031822003212.MON.chlor_a.csv,10-15,3352.46557,12.01600563,11.80534935,1.521761463,2.315757951,14.9934206,10.00757667,985680,463362,279,S20031822003212.MON.chlor_a.csv,10-15,146.7233219,11.28640938,11.28640938,0,0,11.28640938,11.28640938,985680,674019,13
S20031822003212.MON.chlor_a.csv,15-20,1660.558485,17.11915964,17.21069765,1.290015531,1.66414007,19.99648945,15.11785066,985680,463362,97,S20031822003212.MON.chlor_a.csv,15-20,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,20-25,1209.013866,22.38914567,22.15117875,1.437853259,2.067421996,24.90880609,20.06815697,985680,463362,54,S20031822003212.MON.chlor_a.csv,20-25,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,25-30,1040.016946,27.36886701,27.71876164,1.49865491,2.24596654,29.96186765,25.1498239,985680,463362,38,S20031822003212.MON.chlor_a.csv,25-30,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,30-35,486.9770273,32.46513516,31.80843927,1.42197967,2.022026181,34.9927001,30.023386,985680,463362,15,S20031822003212.MON.chlor_a.csv,30-35,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,35-40,503.6242466,38.74032666,38.99567306,1.377563506,1.897681214,39.99550629,35.96544504,985680,463362,13,S20031822003212.MON.chlor_a.csv,35-40,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,40-45,204.7275156,40.94550313,40.53257006,0.581461623,0.338097619,41.9378624,40.48675299,985680,463362,5,S20031822003212.MON.chlor_a.csv,40-45,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,45-50,288.0137177,48.00228628,47.35025978,1.254674355,1.574207737,49.73115921,46.88427353,985680,463362,6,S20031822003212.MON.chlor_a.csv,45-50,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,50-55,257.0222499,51.40444999,51.29166031,0.173548219,0.030118984,51.73974228,51.29166031,985680,463362,5,S20031822003212.MON.chlor_a.csv,50-55,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,463362,0,S20031822003212.MON.chlor_a.csv,55-60,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,60-65,181.4362679,60.47875595,60.47875595,0,0,60.47875595,60.47875595,985680,463362,3,S20031822003212.MON.chlor_a.csv,60-65,0,0,0,0,0,0,0,985680,674019,0
S20031822003212.MON.chlor_a.csv,65-70,328.9943085,65.79886169,65.80368042,0.009637451,9.29E-05,65.80368042,65.77958679,985680,463362,5,S20031822003212.MON.chlor_a.csv,65-70,0,0,0,0,0,0,0,985680,674019,0
S20032132003243.MON.chlor_a.csv,0-5,206501.5097,0.350583101,0.264406949,0.364845566,0.133112287,4.998528481,0.065561563,985680,393955,589023,S20032132003243.MON.chlor_a.csv,0-5,174912.3498,0.33986991,0.266993314,0.310569972,0.096453708,4.995280981,0.071765415,985680,470446,514645
S20032132003243.MON.chlor_a.csv,5-10,12322.92197,6.827103587,6.517846857,1.358003727,1.844174123,9.988833427,5.002058668,985680,393955,1805,S20032132003243.MON.chlor_a.csv,5-10,3185.478181,6.461416188,6.09686025,1.314457095,1.727797454,9.707844734,5.007743835,985680,470446,493
S20032132003243.MON.chlor_a.csv,10-15,5424.407589,11.97440969,11.72186422,1.349068397,1.819985539,14.95055628,10.00057096,985680,393955,453,S20032132003243.MON.chlor_a.csv,10-15,810.64006,11.10465836,10.34438038,1.521951703,2.316336985,14.82450548,10.07123733,985680,470446,73
S20032132003243.MON.chlor_a.csv,15-20,3326.541826,17.05918885,16.80391502,1.451309267,2.106298588,19.93673325,15.00482265,985680,393955,195,S20032132003243.MON.chlor_a.csv,15-20,307.4077224,16.17935381,16.82322502,0.903408163,0.816146309,17.31680577,15.00506306,985680,470446,19
