Month,YMonth,fileLAC,sumLAC,meanLAC,medianLAC,stdLAC,varLAC,maxLAC,minLAC,totalpixLAC,nanpixLAC,statipixLAC,percentLAC,fileGAC,sumGAC,meanGAC,medianGAC,stdGAC,varGAC,maxGAC,minGAC,totalpixGAC,nanpixGAC,statipixGAC,percentGAC,sumDIFF,meanDIFF,medianDIFF,stdDIFF,varDIFF,maxDIFF,minDIFF,totalpixDIFF,nanpixDIFF,statipixDIFF,percentDIFF
Dec,05Dec,S20053352005365.MON.chlor_a.csv,19621.5469179,9.2729427778,6.986030372,6.951565739,48.324266223,99.9407806396,5.0045058578,985680,623907,2116,0.5848971593,S20053352005365.MON.chlor_a.csv,5716.30658345,9.6072379554,6.4064265788,7.4450667424,55.4290187994,35.9098777771,5.001573801,985680,693015,595,0.203304119,13905.24033445,-0.3342951776,0.5796037932,-0.4935010034,-7.1047525764,64.0309028625,0.0029320568,0,-69108,1521,0.3815930402
Jan,06Jan,S20060012006031.MON.chlor_a.csv,14761.4161537,9.0560835299,6.9209740957,7.0004620786,49.0064693136,92.6855316162,5.0001933078,985680,475538,1630,0.3195188791,S20060012006031.MON.chlor_a.csv,2919.15516074,9.0939413107,8.1064500809,4.3913852155,19.2842641113,20.0667324066,5.1810889244,985680,542624,321,0.072451338,11842.26099296,-0.0378577808,-1.1854759852,2.6090768631,29.7222052023,72.6187992096,-0.1808956166,0,-67086,1309,0.2470675411
Feb,06Feb,S20060322006059.MON.chlor_a.csv,7310.50828306,9.4329139136,6.920616664,7.1450472974,51.0517008817,97.4656982422,5.0003294945,985680,422794,775,0.1376832964,S20060322006059.MON.chlor_a.csv,2411.47040881,13.1774339279,8.653096199,13.1122360723,171.930734817,60.6963195801,5.1538575888,985680,498190,183,0.0375392316,4899.03787425,-3.7445200143,-1.732479535,-5.9671887749,-120.8790339353,36.7693786621,-0.1535280943,0,-75396,592,0.1001440649
Mar,06Mar,S20060602006090.MON.chlor_a.csv,44999.9681798,7.9309073281,6.3957232612,5.4288720843,29.4726521072,97.7441101074,5.0013978481,985680,426096,5674,1.0139675187,S20060602006090.MON.chlor_a.csv,30310.1682673,7.1757027148,6.467110465,2.1428201345,4.5916781289,18.1905860901,5.0006370068,985680,423010,4224,0.7507064532,14689.7999125,0.7552046133,-0.0713872038,3.2860519498,24.8809739783,79.5535240173,0.0007608413,0,3086,1450,0.2632610656
Apr,06Apr,S20060912006120.MON.chlor_a.csv,11074.5942534,8.9383327307,6.4604271501,8.1194928626,65.9261643461,98.3231964111,5.005523324,985680,419836,1239,0.2189649444,S20060912006120.MON.chlor_a.csv,8800.2971663,7.6325213932,6.5002865791,3.2065548105,10.2819937526,19.5950317383,5.0122620463,985680,502656,1153,0.238704495,2274.2970871,1.3058113376,-0.039859429,4.9129380521,55.6441705935,78.7281646728,-0.0067387223,0,-82820,86,-0.0197395506
May,06May,S20061212006151.MON.chlor_a.csv,21625.4321754,9.9794333989,7.3416238949,7.3895060511,54.6047996785,90.3890762329,5.0005717278,985680,403933,2167,0.3724986979,S20061212006151.MON.chlor_a.csv,3043.64114749,13.1191428771,6.3299574852,12.5526235496,157.568357978,41.2139659226,5.0602241755,985680,459694,232,0.0441076378,18581.79102791,-3.1397094782,1.0116664097,-5.1631174985,-102.9635582995,49.1751103103,-0.0596524477,0,-55761,1935,0.32839106
Jun,06Jun,S20061522006181.MON.chlor_a.csv,8437.37731576,9.7881407375,6.882112205,8.7831163644,77.1431330702,99.7268753052,5.0002895196,985680,418525,862,0.1519866703,S20061522006181.MON.chlor_a.csv,566.704108238,5.782694982,5.7850904465,0.5051485131,0.2551750203,6.5411877632,5.2477884293,985680,562217,98,0.0231425178,7870.673207522,4.0054457555,1.0970217585,8.2779678513,76.8879580499,93.185687542,-0.2474989097,0,-143692,764,0.1288441525
Jul,06Jul,S20061822006212.MON.chlor_a.csv,8239.72897958,11.6380352819,7.8580583334,12.2727737383,150.620975231,92.4248657227,5.0110590458,985680,681800,708,0.2329867053,S20061822006212.MON.chlor_a.csv,11691.0637797,7.5087114834,6.1369848251,2.8392113951,8.0611213459,18.6749229431,5.0117913485,985680,546090,1557,0.3541936805,-3451.33480012,4.1293237985,1.7210735083,9.4335623432,142.5598538852,73.7499427796,-0.0007323027,0,135710,-849,-0.1212069752
Aug,06Aug,S20062132006243.MON.chlor_a.csv,27065.8632785,11.6814256705,8.1300420761,9.641978202,92.9677436483,88.5700912476,5.0002131462,985680,392068,2317,0.3903222981,S20062132006243.MON.chlor_a.csv,6770.01493349,9.6991617958,7.0527557284,5.624951023,31.6400740116,39.4133946896,5.0093755722,985680,407407,698,0.1207042349,20295.84834501,1.9822638747,1.0772863477,4.017027179,61.3276696367,49.156696558,-0.009162426,0,-15339,1619,0.2696180632
Sep,06Sep,S20062442006273.MON.chlor_a.csv,31837.0898984,9.1749538612,6.8729635179,5.8010951032,33.6527043968,65.9273452759,5.0028627515,985680,388379,3470,0.5809466249,S20062442006273.MON.chlor_a.csv,9173.44623883,9.47670066,6.6545610428,7.4574281246,55.6132342337,45.4261702299,5.0133829117,985680,406551,968,0.1671475613,22663.64365957,-0.3017467988,0.2184024751,-1.6563330214,-21.9605298369,20.501175046,-0.0105201602,0,-18172,2502,0.4137990636
Oct,06Oct,S20062742006304.MON.chlor_a.csv,16949.9501156,8.8743194323,6.9827818871,5.7359882802,32.90156155,85.0446472168,5.001844883,985680,389034,1910,0.3201228199,S20062742006304.MON.chlor_a.csv,2619.0788448,7.5477776507,7.3991007805,1.9562888471,3.8270660532,12.121761322,5.0132064462,985680,407503,347,0.0600162234,14330.8712708,1.3265417816,-0.4163188934,3.7796994331,29.0744954968,72.9228858948,-0.0113615632,0,-18469,1563,0.2601065965
Nov,06Nov,S20063052006334.MON.chlor_a.csv,55013.0355115,8.9466637683,7.0407696962,6.2832094363,39.4787208199,97.2868270874,5.0008443892,985680,440252,6149,1.1273715321,S20063052006334.MON.chlor_a.csv,21331.9524497,7.5165442036,6.6697160006,2.8097932251,7.8949379679,26.9998703003,5.0020029942,985680,463896,2838,0.5439032243,33681.0830618,1.4301195648,0.3710536956,3.4734162112,31.5837828521,70.2869567871,-0.001158605,0,-23644,3311,0.5834683078
Dec,06Dec,S20063352006365.MON.chlor_a.csv,18442.3442907,9.2257850379,7.014823695,6.053121771,36.6402831747,69.8962783813,5.00037117,985680,486709,1999,0.4006244852,S20063352006365.MON.chlor_a.csv,5509.58054811,8.2232545494,6.6925549984,3.6923281013,13.6332868075,18.6488304138,5.004045099,985680,547580,670,0.1529331203,12932.76374259,1.0025304885,0.3222686966,2.3607936697,23.0069963672,51.2474479675,-0.003673929,0,-60871,1329,0.2476913649
