Month YMonth fileLAC sumLAC meanLAC medianLAC stdLAC varLAC maxLAC minLAC totalpixLAC nanpixLAC statipixLAC percentLAC fileGAC sumGAC meanGAC medianGAC stdGAC varGAC maxGAC minGAC totalpixGAC nanpixGAC statipixGAC percentGAC sumDIFF meanDIFF medianDIFF stdDIFF varDIFF maxDIFF minDIFF totalpixDIFF nanpixDIFF statipixDIFF percentDIFF
Feb 06Feb S20060322006059.MON.chlor_a.csv 318799.003109 0.566365131 0.4676794801 0.5643956804 0.3185424841 97.4656982422 0.0222747047 985680 422794 562886 100 S20060322006059.MON.chlor_a.csv 256247.1262 0.525645913 0.4552047 0.451482079 0.203836067 60.69631958 0.18708856 985680 498190 487490 100 62551.876909 0.040719218 0.0124747801 0.1129136014 0.1147064171 36.7693786622 -0.1648138553 0 -75396 75396 0
Mar 06Mar S20060602006090.MON.chlor_a.csv 491650.998726 0.878600887 0.6433647275 1.1018188232 1.2140047191 97.7441101074 0.0897195712 985680 426096 559584 100 S20060602006090.MON.chlor_a.csv 408764.8346 0.726473483 0.592051804 0.78409101 0.614798711 18.19058609 0.231067434 985680 423010 562670 100 82886.164126 0.152127404 0.0513129235 0.3177278132 0.5992060081 79.5535240174 -0.1413478628 0 3086 -3086 0
Apr 06Apr S20060912006120.MON.chlor_a.csv 588633.392511 1.0402750449 0.9012385979 0.8053620542 0.6486080384 98.3231964111 0.1026322395 985680 419836 565844 100 S20060912006120.MON.chlor_a.csv 523176.5679 1.08312748 0.924405674 0.798802506 0.638085444 19.59503174 0.217262641 985680 502656 483024 100 65456.824611 -0.0428524351 -0.0231670761 0.0065595482 0.0105225944 78.7281646711 -0.1146304015 0 -82820 82820 0
May 06May S20061212006151.MON.chlor_a.csv 549547.54698 0.9446504184 0.8061576486 0.8705108781 0.757789189 90.3890762329 0.118991971 985680 403933 581747 100 S20061212006151.MON.chlor_a.csv 462789.8504 0.879852031 0.785329998 0.564506702 0.318667817 41.21396592 0.144622624 985680 459694 525986 100 86757.69658 0.0647983874 0.0208276506 0.3060041761 0.439121372 49.1751103129 -0.025630653 0 -55761 55761 0
Jun 06Jun S20061522006181.MON.chlor_a.csv 251205.153504 0.4429215179 0.3469564319 0.5905388495 0.3487361328 99.7268753052 0.112300761 985680 418525 567155 100 S20061522006181.MON.chlor_a.csv 176409.6579 0.416588127 0.354508147 0.269941562 0.072868447 6.541187763 0.124053948 985680 562217 423463 100 74795.495604 0.0263333909 -0.0075517151 0.3205972875 0.2758676858 93.1856875422 -0.011753187 0 -143692 143692 0
Jul 06Jul S20061822006212.MON.chlor_a.csv 133265.148744 0.4385453098 0.3382704705 0.8641991372 0.7468401487 92.4248657227 0.001 985680 681800 303880 100 S20061822006212.MON.chlor_a.csv 230085.0259 0.523408235 0.371696055 0.656769319 0.431345939 18.67492294 0.113027319 985680 546090 439590 100 -96819.877156 -0.0848629252 -0.0334255845 0.2074298182 0.3154942097 73.7499427827 -0.112027319 0 135710 -135710 0
Aug 06Aug S20062132006243.MON.chlor_a.csv 263407.12485 0.443736186 0.2830077901 1.017908395 1.0361375006 88.5700912476 0.0825699866 985680 392068 593612 100 S20062132006243.MON.chlor_a.csv 227041.4942 0.392619912 0.270925304 0.519628335 0.270013607 39.41339469 0.095707573 985680 407407 578273 100 36365.63065 0.051116274 0.0120824861 0.49828006 0.7661238936 49.1566965576 -0.0131375864 0 -15339 15339 0
Sep 06Sep S20062442006273.MON.chlor_a.csv 407720.867914 0.6826053663 0.4307887316 0.9688904855 0.9387487729 65.9273452759 0.0868443698 985680 388379 597301 100 S20062442006273.MON.chlor_a.csv 366416.7823 0.632703219 0.402286107 0.725432283 0.526251998 45.42617023 0.118584245 985680 406551 579129 100 41304.085614 0.0499021473 0.0285026246 0.2434582025 0.4124967749 20.5011750459 -0.0317398752 0 -18172 18172 0
Oct 06Oct S20062742006304.MON.chlor_a.csv 391721.87362 0.6565398471 0.5172686825 0.7151371303 0.5114211151 85.0446472168 0.0877532214 985680 389034 596646 100 S20062742006304.MON.chlor_a.csv 333758.7129 0.577260446 0.488585509 0.385375035 0.148513917 12.12176132 0.099535681 985680 407503 578177 100 57963.16072 0.0792794011 0.0286831735 0.3297620953 0.3629071981 72.9228858968 -0.0117824596 0 -18469 18469 0
Nov 06Nov S20063052006334.MON.chlor_a.csv 561877.683909 1.0301592216 0.7576990515 1.2321908277 1.5182942358 97.2868270874 0.0380633213 985680 440252 545428 100 S20063052006334.MON.chlor_a.csv 483706.4604 0.927024325 0.73860389 0.739702143 0.54715926 26.9998703 0.109620333 985680 463896 521784 100 78171.223509 0.1031348966 0.0190951615 0.4924886847 0.9711349758 70.2869567874 -0.0715570117 0 -23644 23644 0
Dec 06Dec S20063352006365.MON.chlor_a.csv 417033.854635 0.8357877605 0.6983500212 0.8203001396 0.6728923191 69.8962783813 0.0198108125 985680 486709 498971 100 S20063352006365.MON.chlor_a.csv 332085.9853 0.758014119 0.659872723 0.523957773 0.274531748 18.64883041 0.062734947 985680 547580 438100 100 84947.869335 0.0777736415 0.0384772982 0.2963423666 0.3983605711 51.2474479713 -0.0429241345 0 -60871 60871 0
